

AAK;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
177.60;-0.85;-0.48%;179.15;177.40;"817409
";;;;;
176.20;-1.40;-0.79%;178.90;176.20;"448403
";;;;;
179.55;+3.35;+1.90%;179.80;176.50;"1003705
";;;;;
178.20;-1.35;-0.75%;179.75;178.20;"749901
";;;;;
177.45;-0.75;-0.42%;179.45;176.80;"404318
";;;;;
177.45;-0.75;-0.42%;179.45;176.80;"404318
";;;;;
177.45;-0.75;-0.42%;179.45;176.80;"404318
";;;;;




Dometic-Group;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
78.40;-0.76;-0.96%;79.16;78.04;"630532
";;;;;
78.38;-0.02;-0.03%;79.82;77.70;"724204
";;;;;
76.32;-2.06;-2.63%;76.76;75.00;"2381506
";;;;;
77.72;+1.40;+1.83%;78.28;76.32;"1330017
";;;;;
78.36;+0.64;+0.82%;78.90;77.34;"1550496
";;;;;
78.36;+0.64;+0.82%;78.90;77.34;"1550496
";;;;;
78.36;+0.64;+0.82%;78.90;77.34;"1550496
";;;;;




Electrolux-A;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
242.00;0.00;0.00%;242.00;242.00;"381
";;;;;
244.00;+2.00;+0.83%;244.00;242.00;"27
";;;;;
244.00;0.00;0.00%;244.00;244.00;"288
";;;;;
244.00;0.00;0.00%;244.00;244.00;"3
";;;;;
242.00;-2.00;-0.82%;242.00;242.00;"522
";;;;;
242.00;-2.00;-0.82%;242.00;242.00;"522
";;;;;
242.00;-2.00;-0.82%;242.00;242.00;"522
";;;;;




Electrolux-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
240.00;0.00;0.00%;240.60;238.30;"844404
";;;;;
238.50;-1.50;-0.62%;242.40;237.30;"952215
";;;;;
240.40;+1.90;+0.80%;241.30;237.90;"1128203
";;;;;
235.50;-4.90;-2.04%;237.50;235.10;"846439
";;;;;
236.10;+0.60;+0.26%;236.80;234.90;"863609
";;;;;
236.10;+0.60;+0.26%;236.80;234.90;"863609
";;;;;
236.10;+0.60;+0.26%;236.80;234.90;"863609
";;;;;




Elekta-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
109.80;-2.30;-2.05%;112.15;109.20;"1231679
";;;;;
110.00;+0.20;+0.18%;110.75;109.45;"1059785
";;;;;
110.10;+0.10;+0.09%;110.35;108.80;"847837
";;;;;
108.70;-1.40;-1.27%;110.75;108.60;"840800
";;;;;
109.80;+1.10;+1.01%;109.80;108.00;"1035156
";;;;;
109.80;+1.10;+1.01%;109.80;108.00;"1035156
";;;;;
109.80;+1.10;+1.01%;109.80;108.00;"1035156
";;;;;




Epiroc-A;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
97.50;-1.10;-1.12%;98.80;96.88;"1550664
";;;;;
97.18;-0.32;-0.33%;98.70;97.02;"1658526
";;;;;
95.58;-1.60;-1.65%;97.30;95.00;"1551034
";;;;;
96.22;+0.64;+0.67%;96.88;95.50;"1173520
";;;;;
97.86;+1.64;+1.70%;97.86;96.00;"1346110
";;;;;
97.86;+1.64;+1.70%;97.86;96.00;"1346110
";;;;;
97.86;+1.64;+1.70%;97.86;96.00;"1346110
";;;;;




Epiroc-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
93.45;-0.24;-0.26%;93.69;92.45;"557316
";;;;;
92.49;-0.96;-1.03%;94.22;92.49;"526907
";;;;;
91.14;-1.35;-1.46%;92.59;91.10;"482010
";;;;;
92.05;+0.91;+1.00%;92.61;90.98;"404518
";;;;;
93.50;+1.45;+1.58%;93.50;91.53;"297468
";;;;;
93.50;+1.45;+1.58%;93.50;91.53;"297468
";;;;;
93.50;+1.45;+1.58%;93.50;91.53;"297468
";;;;;




Ericsson-A;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
90.60;+0.50;+0.56%;91.10;89.90;"21281
";;;;;
91.40;+0.80;+0.88%;91.90;90.60;"15937
";;;;;
91.80;+0.40;+0.44%;92.00;91.30;"12423
";;;;;
91.70;-0.10;-0.11%;92.40;91.00;"16332
";;;;;
92.50;+0.80;+0.87%;92.80;91.80;"16141
";;;;;
92.50;+0.80;+0.87%;92.80;91.80;"16141
";;;;;
92.50;+0.80;+0.87%;92.80;91.80;"16141
";;;;;




Ericsson-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
90.24;+1.16;+1.30%;90.24;88.66;"10049574
";;;;;
89.50;-0.74;-0.82%;91.32;89.20;"7398016
";;;;;
90.40;+0.90;+1.01%;90.68;89.30;"5673453
";;;;;
91.36;+0.96;+1.06%;91.66;89.92;"6343816
";;;;;
91.40;+0.04;+0.04%;92.26;91.08;"9490723
";;;;;
91.40;+0.04;+0.04%;92.26;91.08;"9490723
";;;;;
91.40;+0.04;+0.04%;92.26;91.08;"9490723
";;;;;




Essity-A;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
262.50;+0.50;+0.19%;262.50;260.50;"6728
";;;;;
261.00;-1.50;-0.57%;263.00;260.00;"6886
";;;;;
266.50;+5.50;+2.11%;267.00;260.00;"6973
";;;;;
263.50;-3.00;-1.13%;267.00;263.00;"4723
";;;;;
264.00;+0.50;+0.19%;265.00;262.00;"16311
";;;;;
264.00;+0.50;+0.19%;265.00;262.00;"16311
";;;;;
264.00;+0.50;+0.19%;265.00;262.00;"16311
";;;;;




Essity-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
263.40;+2.40;+0.92%;263.40;259.90;"1270557
";;;;;
261.80;-1.60;-0.61%;262.90;259.80;"1632876
";;;;;
267.00;+5.20;+1.99%;267.30;259.90;"1574149
";;;;;
263.30;-3.70;-1.39%;267.10;263.00;"1431861
";;;;;
264.90;+1.60;+0.61%;265.20;262.70;"1583516
";;;;;
264.90;+1.60;+0.61%;265.20;262.70;"1583516
";;;;;
264.90;+1.60;+0.61%;265.20;262.70;"1583516
";;;;;




Evolution-Gaming-Group;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
750.00;+3.00;+0.40%;755.60;738.00;"65575
";;;;;
738.00;-12.00;-1.60%;751.20;735.40;"70624
";;;;;
749.40;+11.40;+1.54%;749.40;729.40;"94453
";;;;;
763.00;+13.60;+1.82%;772.20;748.60;"82422
";;;;;
779.00;+16.00;+2.10%;788.60;766.40;"98387
";;;;;
779.00;+16.00;+2.10%;788.60;766.40;"98387
";;;;;
779.00;+16.00;+2.10%;788.60;766.40;"98387
";;;;;




Fabege;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
134.85;-1.30;-0.96%;136.50;134.10;"512208
";;;;;
133.25;-1.60;-1.19%;135.20;133.25;"361618
";;;;;
135.90;+2.65;+1.99%;137.05;133.25;"562738
";;;;;
135.10;-0.80;-0.59%;136.05;134.90;"378395
";;;;;
133.50;-1.60;-1.18%;136.85;132.70;"867749
";;;;;
133.50;-1.60;-1.18%;136.85;132.70;"867749
";;;;;
